,Model,Data,precision,recall,f1-score,support
Faces,partially_unfrozen_resnet18,Train,0.9804560260586319,0.9933993399339934,0.9868852459016394,303.0
Faces_easy,partially_unfrozen_resnet18,Train,0.9933554817275747,0.980327868852459,0.9867986798679867,305.0
Leopards,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,135.0
Motorbikes,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,553.0
accordion,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,37.0
airplanes,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,565.0
anchor,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,30.0
ant,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,31.0
barrel,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,32.0
bass,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,39.0
beaver,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,32.0
binocular,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,18.0
bonsai,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,94.0
brain,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,67.0
brontosaurus,partially_unfrozen_resnet18,Train,1.0,0.9655172413793104,0.9824561403508771,29.0
buddha,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,64.0
butterfly,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,56.0
camera,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,41.0
cannon,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,32.0
car_side,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,93.0
ceiling_fan,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,29.0
cellphone,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,38.0
chair,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,43.0
chandelier,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,76.0
cougar_body,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,33.0
cougar_face,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,51.0
crab,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,55.0
crayfish,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,46.0
crocodile,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,39.0
crocodile_head,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,35.0
cup,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,40.0
dalmatian,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,51.0
dollar_bill,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,36.0
dolphin,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,52.0
dragonfly,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,47.0
electric_guitar,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,46.0
elephant,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,43.0
emu,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,36.0
euphonium,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,45.0
ewer,partially_unfrozen_resnet18,Train,1.0,1.0,1.0,67.0
